.0A,COLLEGE NAME,WEBSITE,ADRESS
346,"Institute Of Hotel Management Catering And Nutrition, Shimla",https://ihmshimla.org/,
347,"Institute Of Hotel Management Catering Technology & Applied Nutrition, Bathinda",http://www.ihmbti.com/,
348,"Institute Of Hotel Management Catering Technology And Applied Nutrition, Sikkim",https://www.ihmgangtok.com/,
349,"Institute Of Language Studies And Applied Social Sciences ILSASS, Anand",http://www.ilsass.edu.in/,
350,"Institute Of Management Sciences, Jammu",http://imsjammu.com/,
351,"Institute Of Nursing Sciences, Agartala",https://innscagt.blogspot.com/,
352,"Institute Of Psychiatry & Human Behaviour, Bambolim",https://iphb.goa.gov.in/,
353,"Institute Of Technology, Gopeshwar",https://itgopeshwar.ac.in/,
354,"Institute Of Technology, Mayyil",http://www.itmmba.ac.in/,
355,"Institute Of Textile Technology, Cuttack",https://www.ittchoudwar.org/,
356,"International College Of Financial Planning, New Delhi",https://www.icofp.org/,
357,"International Institute of Information Technology (IIIT), Naya Raipur",https://www.iiitnr.ac.in/,
358,"International Institute of Interior and Fashion Technology (IIIFT), Navi Mumbai",https://www.indcareer.com/maharashtra/mumbai/www.iiift.com,
359,"International Management Institute IMI, Bhubaneswar",https://imibh.edu.in/,
360,"International School Of Business & Media ISBM, Gurgaon",http://www.isbmgurgaon.com/,
361,"Ipcowala Santram College Of Fine Arts, Anand",http://www.isfinearts.edu.in/,
362,"Iqra Unani Medical Collge, Hospital & Research Centre, Jalgaon",http://www.iqramedicalcollege.in/,
363,"Islamic University Of Science And Technology School Of Technology, Pulwama",https://www.iustlive.com/,
364,"Islampur College, Islampur",https://www.islampurcollege.ac.in/,
365,"Iswar Chandra Vidyasagar College, Belonia",http://icvcollege.edu.in/,
366,"J S S College of Pharmacy, Mysore",https://jssuni.edu.in/,
367,"Jabalpur College Of Computers Communication JCCC, Jabalpur",http://jbpccc.in/,
368,"Jagadguru Shankaracharya College Of Nursing, Raipur",https://jscnraipur.com/,
369,"Jagarlamudi Kuppuswamy Choudary (JKC) College, Guntur",http://www.jkcc.ac.in/,
370,"Jagdish Sheth School of Management (formerly IFIM Business School, Bangalore)",https://www.jagsom.com/,
371,"Jaintia Eastern College, Khliehriat",http://www.jecollege.org/,
372,"Jalpaiguri Law College, Jalpaiguri",http://www.jalpaigurilawcollege.in/,
373,"Jammu College Of Physiotherapy, Jammu",http://www.jcpjammu.in/,
374,"Jasdev Singh Sandhu Degree College JSSDC, Patiala",http://www.jssgoi.com/jssdc-jasdev-singh-sandhu-degree-college/,
375,"Jawahar Bharati Degree College, Kavali",http://jawaharbharati.edu.in/jbdc2.html,
376,"Jawaharlal Nehru College, Pasighat",http://www.jncpasighat.org/,
377,"Jawaharlal Nehru Institute Of Medical Sciences JNIMS, Imphal East",http://jnims.nic.in/,
378,"Jawaharlal Nehru Rajkeeya Mahavidyalaya (JNRM), Port Blair",http://jnrm.and.nic.in/,
379,Jayaprakash Narayana College of Engineering,http://jpnce.ac.in/,
380,"JD Institute Of Fashion Technology, Mumbai",https://jdinstituteoffashiontechnology.com/,
381,"JDT Islam College of Nursing, Calicut",http://www.jdtnursing.org/,
382,"Jharkhand Vidhi Mahavidyalaya, Koderma",http://jharkhandvidhi.org/,
383,"Jindal Global Law School, Sonipat",http://www.jgls.edu.in/,
384,"JMJ College for Women, Tenali",http://jmjcollege.ac.in/,
385,"JNTU College of Engineering, Anatapur",http://www.jntucea.org/,
386,"JNTUK University College of Engineering, Vizianagaram",http://jntukucev.ac.in/,
387,"Johri Professional College, Bhopal",http://johriprofessionalcollege.com/,
388,"Jyotsna Private Industrial Training Institute, Loharian",http://www.jyotsnaitihamirpur.com/,
389,"K K Institute Of Engineering And Management, Dhanbad",http://kkcemdhanbad.ac.in/,
390,"K L Bajoria College, Shillong",https://klbajoriacollege.org/,
391,"K L E Society's College of Pharmacy,Bidar",https://www.klesociety.org/,
392,"K.K.M College, Jamui",http://kkmcollege.ac.in/web/,
393,"Kabi Nazrul Mahavidyalaya, Sonamura",http://knmsonamura.ac.in/,
394,"Kakaraparti Bhavanarayana College PG Centre, Vijayawada",https://www.indcareer.com/andhra-pradesh/vijayawada/www.kbncollege.info,
395,"Kakaraparti Bhavanarayana College, Vijayawada (KBN College)",https://www.indcareer.com/andhra-pradesh/vijayawada/www.kbncollege.ac.in,
396,"Kakching Khunou College, Thoubal",https://kakchingkhunoucollege.in/,
397,"Kakinada Institute of Engineering and Technology, Kakinada",https://www.indcareer.com/andhra-pradesh/kakinada/www.kietnet.in,
398,"Kalaniketan Polytechnic College, Jabalpur",http://knpolyjbp.ac.in/,
